HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,2010 Census Tract Number:,Total Number of Units:,Total Low-Income Units:,Number of Efficiency Units:,Number of 1 Bedroom Units:,Number of 2 Bedroom Units:,Number of 3 Bedroom Units:,Number of 4 Bedroom Units:,Placed-In-Service Year:,Credit Allocation Year:,Construction Type:,For-profit/non-profit Sponsor:,DDA/QCT Increased Basis:,Tax-Exempt Bond Financing:,FmHA/RHS 515 Loan Financing:,Credit Type:,Home Investment Partnership Funds,Community Development Block Grant (CDBG) Funds,FHA-insured Loan,Part of a HOPE VI Development,Dollar Amount of HOME Funds:,Dollar Amount of CDBG Funds:,Dollar Amount of HOPEVI Funds:,Project-Based Rental Assistance Contract:,Targets a Specific Population with Specialized Services or Facilities,Annual LIHTC Allocation Amount:,Elected Rent/Income Ceiling for Low Income Units:,Are Units Set Aside with Rents Lower than the Elected Rent/Income Ceiling?,Number of Units Set Aside with Rents Lower than the Elected Rent/Income Ceiling:
NYA19950335,STRATFORD ARMS APTS,25 W UTICA ST,BUFFALO,NY,14209,42.91108322,-78.86737823,36029006602,66.02,41,41,4,33,4,0,0,1995,1993,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,Yes,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19960015,1165 DELAWARE AVE,1165 DELAWARE AVE,BUFFALO,NY,14209,42.9156723,-78.86888123,36029016900,169,62,59,0,52,7,0,0,1996,1994,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19960045,214 SOUTH DIVISION/233 EAGLE,233 E EAGLE ST,BUFFALO,NY,14204,42.88264847,-78.86633301,36029001402,14.02,134,134,0,32,102,0,0,1996,1995,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19960290,ST PATRICK VILLAGE,39 EMSLIE ST,BUFFALO,NY,14210,42.87757492,-78.84873199,36029016400,164,10,10,0,3,3,4,0,1996,1995,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19960315,THOMAS J WOJNAR PARK VIEW APTS,104 LEWIS ST,BUFFALO,NY,14206,42.88053131,-78.83330536,36029001700,17,32,32,0,32,0,0,0,1996,1994,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,Yes,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19970115,GRATWICK MANOR,840 TONAWANDA ST,BUFFALO,NY,14207,42.95146561,-78.90496063,36029005802,58.02,24,24,0,20,4,0,0,1997,1995,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19970140,JILL JOSEPH TOWERS,66 CUSTER ST,BUFFALO,NY,14214,42.94994736,-78.8294754,36029004700,47,127,127,0,122,5,0,0,1997,1996,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19980115,FRANCIS JOHN APTS,1201 BROADWAY ST,BUFFALO,NY,14212,42.89454269,-78.83016968,36029001600,16,62,61,0,61,0,0,0,1998,1997,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19980185,SHILOH SENIOR HOUSING,40 PINE ST,BUFFALO,NY,14204,42.88098526,-78.86495209,36029001402,14.02,24,24,0,0,24,0,0,1998,1997,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,Yes,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19990030,AUSTIN MANOR HOUSING,395 TONAWANDA ST,BUFFALO,NY,14207,42.94016647,-78.89863586,36029005900,59,24,24,0,20,4,0,0,1999,1999,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA19990055,BUFFALO RIVER APTS,67 VINCENNES ST,BUFFALO,NY,14204,42.86697006,-78.86279297,36029000500,5,16,16,0,16,0,0,0,1999,1999,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20000110,GERARD PLACE,2515 BAILEY AVE,BUFFALO,NY,14215,42.92314148,-78.81345367,36029004100,41,15,14,0,0,14,0,0,2000,1999,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20020065,ELLICOTT HOUSES,421 S DIVISION ST,BUFFALO,NY,14204,42.87976074,-78.85964966,36029016400,164,64,64,0,0,22,25,17,2002,2001,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20020080,FREDERICK DOUGLASS PHASE I,481 CLINTON ST,BUFFALO,NY,14204,42.88216782,-78.85665131,36029001402,14.02,87,87,0,15,48,17,7,2002,2002,New Construction,Status Not Available,Status Not Available,No,No,30% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20030075,FREDERICK DOUGLASS REDEVELOPMENT PHASE II,180 JEFFERSON AVE,BUFFALO,NY,14204,42.88040543,-78.8536911,36029001402,14.02,112,112,0,98,14,0,0,2003,2004,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,30% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20030215,SYCAMORE STREET HOUSING,923 SYCAMORE ST,BUFFALO,NY,14212,42.8980751,-78.83729553,36029002702,27.02,24,24,24,0,0,0,0,2003,2003,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20040075,ELLICOTT HOMES WEST,344 SWAN ST,BUFFALO,NY,14204,42.87981033,-78.86289215,36029016400,164,84,84,0,0,30,32,22,2004,2003,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20050050,ELMWOOD SQUARE APTS,501 ELMWOOD AVE,BUFFALO,NY,14222,42.91065216,-78.8768692,36029006702,67.02,138,137,32,106,0,0,0,2005,2004,Acquisition and Rehab,Status Not Available,Status Not Available,No,No,30% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20050065,FREDERICK DOUGLAS PHASE III,17 MARY B TALBERT BLVD,BUFFALO,NY,14204,42.88080215,-78.85575104,36029001402,14.02,45,45,0,3,17,24,1,2005,2004,New Construction,Status Not Available,Status Not Available,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYA20060045,CORNERSTONE MANOR TRANSITIONAL HOUSING,150 E N ST,BUFFALO,NY,14203,42.90232468,-78.86307526,36029003100,31,58,58,46,0,12,0,0,2006,2006,New Construction,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,Yes,No,No,Status Not Available,"$585,000 ",,,Not Indicated,Yes,"$570,000 ",60%,Not Indicated,
NYA20060265,EAST SIDE HOUSING OPPORTUNITIES,237 NORTHAMPTON ST,BUFFALO,NY,14208,42.90734863,-78.85800934,36029016800,168,29,29,0,0,0,18,11,2006,2006,New Construction,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,No,,,,No Contract,Yes,"$444,341 ",50%,Yes,10
NYA20060290,LAKEVIEW PHASE III,263 TRENTON AVE,BUFFALO,NY,14201,42.89313889,-78.88877869,36029007101,71.01,61,59,0,0,0,33,28,2006,2004,Acquisition and Rehab,For-Profit Sponsor,Yes,No,No,Information Not Available,No,No,No,Yes,,,"$3,500,000 ",Not Indicated,Yes,"$511,106 ",50%,No,
NYA20070235,ARTSPACE BUFFALO - ARTIST FAMILY LOFTS,19 NORTHAMPTON ST,BUFFALO,NY,14209,42.90781021,-78.86577606,36029016800,168,60,36,6,26,22,6,0,2007,2006,Both New Construction and Rehab,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,No,,,,No Contract,Yes,"$712,137 ",50%,Yes,6
NYA20070355,SENECA STREET SPECIAL NEEDS SRO,1603 SENECA ST,BUFFALO,NY,14210,42.86513138,-78.82221985,36029001100,11,75,75,75,0,0,0,0,2007,2007,New Construction,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,No,,,,Not Indicated,Yes,"$570,444 ",50%,Yes,33
NYA20070365,ST JOHN TOWNHOMES,163 MAPLE ST,BUFFALO,NY,14204,42.89807892,-78.86250305,36029003100,31,28,28,0,0,0,24,4,2007,2007,New Construction,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,No,,,,No Contract,Yes,"$518,950 ",50%,No,
NYA20090055,PACKARD BUILDING,1325 MAIN ST,BUFFALO,NY,14209,42.90960693,-78.86626434,36029016800,168,40,25,1,10,24,5,0,2009,2008,Acquisition and Rehab,For-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,Status Not Available,,,,No Contract,Yes,"$413,905 ",60%,Yes,12
NYA20090090,AD PRICE,282 MADISON ST,BUFFALO,NY,14212,42.88821793,-78.85314941,36029001500,15,55,55,0,8,33,14,0,2009,2008,New Construction,For-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,No,,,,Not Indicated,Yes,"$484,751 ",50%,No,
NYA20100007,AMHERST STATION,2671 MAIN ST,BUFFALO,NY,14214,42.9398613,-78.83812714,36029004001,40.01,24,24,0,19,5,0,0,2010,2009,Acquisition and Rehab,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,Yes,No,No,No,"$1,778,825 ",,,State,Yes,"$480,000 ",50%,Yes,4
NYA20110022,HOLY FAMILY SENIOR APTS,892 TIFFT ST,BUFFALO,NY,14220,42.84712982,-78.82635498,36029000200,2,35,35,0,30,5,0,0,2011,2010,Acquisition and Rehab,Non-Profit Sponsor,No,No,No,70% Present Value Credit,No,No,No,No,,,,No Contract,Yes,"$705,687 ",60%,Yes,24
NYA20110227,AD PRICE SENIOR PHASE II,450 JEFFERSON AVE,BUFFALO,NY,14204,42.88727951,-78.85416412,36029001402,14.02,,,,,,,,2011,2009,New Construction,For-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,Status Not Available,No,No,,,,Federal,Yes,"$1,291,619 ",60%,No,
NYA20120035,ST MARTIN VILLAGE,564 DODGE ST,BUFFALO,NY,14208,42.90571976,-78.84599304,36029003302,33.02,60,60,0,0,24,24,12,2012,2010,Both New Construction and Rehab,Non-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,No,No,No,,,,No Contract,Yes,"$1,320,000 ",50%,Yes,3
NYA20130301,TRUE BETHEL TOWNHOMES,858 E FERRY ST,BUFFALO,NY,14211,42.91470337,-78.8323288,36029003400,34,30,,,,,,,2013,2013,New Construction,For-Profit Sponsor,Yes,No,No,70% Present Value Credit,No,Status Not Available,No,No,,,,No Contract,Yes,"$618,913 ",60%,Yes,
NYA20140050,RIVERSIDE SPECIAL NEEDS APTS,238 ONTARIO ST,BUFFALO,NY,14207,42.95125198,-78.90261078,36029005802,58.02,68,,,,,,,2014,2013,Acquisition and Rehab,Non-Profit Sponsor,No,No,No,70% Present Value Credit,No,Status Not Available,No,No,,,,No Contract,Yes,"$855,755 ",50%,Yes,
NYA20140060,ST JOHN TOWNHOMES II,132 MULBERRY ST,BUFFALO,NY,14204,42.89704132,-78.8622818,36029003100,31,,,,,,,,2014,2013,New Construction,Non-Profit Sponsor,No,No,No,70% Present Value Credit,Yes,Status Not Available,No,No,,,,No Contract,Yes,"$1,013,313 ",60%,Yes,
NYA20141005,AD PRICE PHASE II,285 SPRING STREET,BUFFALO,NY,14204,42.88593674,-78.85577393,36029001402,1402,50,50,,6,16,11,17,2014,2014,New Construction,Non-Profit Sponsor,No,No,No,70% Present Value Credit,No,No,No,No,,,,Federal,No,"$894,631 ",60%,No,
NYA20151029,MASS AVE COMMUNITY HOMES,12 Sherwood Street,Buffalo,NY,14213,42.91297913,-78.89260864,36029006100,6100,46,39,0,13,12,20,1,2015,2014,New Construction,Non-Profit Sponsor,Yes,No,Yes,70% Present Value Credit,Yes,Yes,No,No,"$2,344,999 ","$3,231,230 ",,No Contract,Yes,"$858,000 ",60%,Yes,19
NYA20160003,BELLAMY COMMONS,1490 Jefferson Ave,Buffalo,NY,14208,42.91591644,-78.85421753,36029016800,6800,30,30,0,18,12,0,0,2016,2015,Acquisition and Rehab,Non-Profit Sponsor,Yes,No,Yes,70% Present Value Credit,Yes,Yes,No,No,"$2,344,999 ","$3,231,230 ",,No Contract,Yes,"$513,269 ",60%,Yes,15
NYB0000X002,BRACO & LINWOOD APTS.,922/926 Main/Allen ST,Buffalo,NY,14202,42.88290024,-78.87390137,36029016500,6500,296,295,7,94,149,27,18,8888,2014,Acquisition and Rehab,Status Not Available,Yes,Yes,Status Not Available,30% Present Value Credit,No,Yes,No,No,,"$700,000 ",,Federal,No,"$1,317,491 ",60%,Yes,177
NYB19950015,HERTEL PARK,1631 HERTEL AVE,BUFFALO,NY,14216,42.94747162,-78.84751892,36029004800,48,138,138,0,126,12,0,0,1995,1994,New Construction,For-Profit Sponsor,No,No,No,70% Present Value Credit,Status Not Available,Status Not Available,Status Not Available,Status Not Available,,,,Not Indicated,Status Not Available,,,Not Indicated,
NYB20010025,HOPKINS COURT,2250 N FRENCH RD,BUFFALO,NY,,,,,,105,105,0,71,34,0,0,2001,2000,New Construction,For-Profit Sponsor,No,No,No,70% Present Value Credit,Status Not Available,Status Not Available,Status Not Available,Status Not Available,,,,Not Indicated,Status Not Available,,,Not Indicated,
NYB20020030,LAKEVIEW SENIORS I,345 TRENTON AVE,BUFFALO,NY,14201,42.89469528,-78.89025116,36029007101,71.01,138,138,0,85,41,12,0,2002,2002,New Construction,For-Profit Sponsor,Yes,Yes,No,30% Present Value Credit,Status Not Available,Status Not Available,Status Not Available,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYB20040010,LAKEVIEW FAMILY HOMES II,1 JERSEY ST,BUFFALO,NY,14201,42.89584732,-78.89780426,36029007202,72.02,150,149,0,42,41,37,30,2004,2002,New Construction,For-Profit Sponsor,Yes,Yes,No,30% Present Value Credit,No,Yes,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYB20040035,WATERGATE APTS II,10 HERTEL AVE,BUFFALO,NY,14207,42.939888,-78.9081955,36029005900,59,195,145,0,98,97,0,0,2004,2004,Acquisition and Rehab,For-Profit Sponsor,Yes,Yes,No,30% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYB20050050,WASHINGTON APTS,501 WASHINGTON ST,BUFFALO,NY,14203,42.88772583,-78.87239838,36029016500,165,82,81,0,52,30,0,0,2005,2004,Acquisition and Rehab,For-Profit Sponsor,Yes,Yes,No,30% Present Value Credit,No,No,No,Status Not Available,,,,Not Indicated,Yes,,,Not Indicated,
NYB20110050,HARBOR VIEW,10 SEVENTH ST,BUFFALO,NY,14201,42.8850441,-78.88195038,36029007102,71.02,208,200,0,85,43,40,40,2011,2009,Acquisition and Rehab,Status Not Available,Yes,Yes,Status Not Available,30% Present Value Credit,No,No,No,No,,,,Federal,No,"$642,569 ",60%,Yes,42
NYB20110802,WALDEN PARK SENIOR HOUSING I,101 BAKOS BLVD,BUFFALO,NY,14211,42.90421295,-78.80078125,36029003000,30,126,126,0,114,12,0,0,2011,8888,Acquisition and Rehab,Status Not Available,No,Yes,Status Not Available,30% Present Value Credit,No,No,No,No,,,,Not Indicated,Yes,"$336,477 ",60%,Not Indicated,
NYB20123002,MARINER TOWERS,186 Efner ST,Buffalo,NY,14201,42.89271927,-78.88999176,36029007101,7101,292,292,0,84,114,94,0,2012,2012,Acquisition and Rehab,Status Not Available,Yes,Yes,Status Not Available,30% Present Value Credit,No,No,No,No,,,,Federal,No,"$1,588,559 ",60%,Not Indicated,
NYB20141012,HERTEL PARK SENIOR APARTMENTS,1607 Hertel AVE,Buffalo,NY,14216,42.94747543,-78.84824371,36029004800,4800,0,136,0,126,12,0,0,2014,2013,Information Not Available,Status Not Available,Yes,Yes,Status Not Available,30% Present Value Credit,No,No,No,No,,,,Not Indicated,Yes,"$366,188 ",60%,Not Indicated,
NYB20141018,TRINITY TOWERS,25 Linwood Avenue,Buffalo,NY,14209,42.90281677,-78.87059021,36029006702,6702,83,78,21,59,3,0,0,2014,9999,Information Not Available,Status Not Available,No,Yes,Status Not Available,30% Present Value Credit,No,No,No,No,,,,Not Indicated,No,"$305,447 ",60%,Not Indicated,
NYE00000058,NORTH STREET Y,NORTH ST,BUFFALO,NY,,,,,,63,,,,,,,8888,8888,Information Not Available,Status Not Available,Status Not Available,Status Not Available,Status Not Available,Information Not Available,Status Not Available,Status Not Available,Status Not Available,Status Not Available,,,,Not Indicated,Status Not Available,,,Not Indicated,
NYE00000077,SHORELINE APTS,99 CAROLINA ST,BUFFALO,NY,,42.89101791,-78.88450623,36029007102,71.02,73,,,,,,,8888,8888,Information Not Available,Status Not Available,Status Not Available,Status Not Available,Status Not Available,Information Not Available,Status Not Available,Status Not Available,Status Not Available,Status Not Available,,,,Not Indicated,Status Not Available,,,Not Indicated,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
| HUD User Home | HUD User Data Sets | LIHTC Database Access Home |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problems or questions? Contact Michael.K.Hollar@hud.gov.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
